,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
0,2020-03-13,3675,7,46,Germany,,,,,,
1,2020-03-14,4585,9,46,Germany,910.0,0.24761904761904763,2.0,0.2857142857142857,,
2,2020-03-15,5795,11,46,Germany,1210.0,0.2639040348964013,2.0,0.2222222222222222,,
3,2020-03-16,7272,17,67,Germany,1477.0,0.2548748921484038,6.0,0.5454545454545454,,
4,2020-03-17,9257,24,67,Germany,1985.0,0.27296479647964794,7.0,0.4117647058823529,,
5,2020-03-18,12327,28,105,Germany,3070.0,0.3316409203845738,4.0,0.16666666666666666,,
6,2020-03-19,15320,44,113,Germany,2993.0,0.24280035694005028,16.0,0.5714285714285714,,
7,2020-03-20,19848,67,180,Germany,4528.0,0.29556135770234987,23.0,0.5227272727272727,2310.4285714285716,8.571428571428571
8,2020-03-21,22213,84,233,Germany,2365.0,0.11915558242644095,17.0,0.2537313432835821,2518.285714285714,10.714285714285714
9,2020-03-22,24873,94,266,Germany,2660.0,0.11974969612389141,10.0,0.11904761904761904,2725.4285714285716,11.857142857142858
10,2020-03-23,29056,123,266,Germany,4183.0,0.16817432557391548,29.0,0.30851063829787234,3112.0,15.142857142857142
11,2020-03-24,32986,157,3243,Germany,3930.0,0.13525605726872247,34.0,0.2764227642276423,3389.8571428571427,19.0
12,2020-03-25,37323,206,3547,Germany,4337.0,0.13148002182744195,49.0,0.31210191082802546,3570.8571428571427,25.428571428571427
13,2020-03-26,43938,267,5673,Germany,6615.0,0.17723655654690137,61.0,0.2961165048543689,4088.285714285714,31.857142857142858
14,2020-03-27,50871,342,6658,Germany,6933.0,0.15779052300969548,75.0,0.2808988764044944,4431.857142857143,39.285714285714285
15,2020-03-28,57695,433,8481,Germany,6824.0,0.134143225020149,91.0,0.26608187134502925,5068.857142857143,49.857142857142854
16,2020-03-29,62095,533,9211,Germany,4400.0,0.07626310772163966,100.0,0.23094688221709006,5317.428571428572,62.714285714285715
17,2020-03-30,66885,645,13500,Germany,4790.0,0.0771398663338433,112.0,0.2101313320825516,5404.142857142857,74.57142857142857
18,2020-03-31,71808,775,16100,Germany,4923.0,0.07360394707333483,130.0,0.20155038759689922,5546.0,88.28571428571429
19,2020-04-01,77872,920,18700,Germany,6064.0,0.08444741532976827,145.0,0.1870967741935484,5792.714285714285,102.0
22,2020-04-02,84794,1107,22440,Germany,6922.0,0.088889459626053,187.0,0.20326086956521738,5836.571428571428,120.0
23,2020-04-03,91159,1275,24575,Germany,6365.0,0.07506427341557186,168.0,0.15176151761517614,5755.428571428572,133.28571428571428
24,2020-04-04,96092,1444,26400,Germany,4933.0,0.05411423995436545,169.0,0.13254901960784313,5485.285714285715,144.42857142857142
25,2020-04-05,100123,1584,28700,Germany,4031.0,0.04194938184240103,140.0,0.09695290858725762,5432.571428571428,150.14285714285714
26,2020-04-06,103374,1810,28700,Germany,3251.0,0.032470061823956536,226.0,0.14267676767676768,5212.714285714285,166.42857142857142
27,2020-04-07,107663,2016,36081,Germany,4289.0,0.04149012324182096,206.0,0.1138121546961326,5122.142857142857,177.28571428571428
28,2020-04-08,113296,2349,46300,Germany,5633.0,0.05232066726730632,333.0,0.16517857142857142,5060.571428571428,204.14285714285714
29,2020-04-09,118181,2607,52407,Germany,4885.0,0.043117144471119896,258.0,0.10983397190293742,4769.571428571428,214.28571428571428
20,2020-04-10,122171,2767,53913,Germany,3990.0,0.03376177219688444,160.0,0.06137322593018796,4430.285714285715,213.14285714285714
0,2020-03-13,798,8,8,UK,,,,,,
1,2020-03-14,1140,21,21,UK,342.0,0.42857142857142855,13.0,1.625,,
